pincode,city,district,state
207245,Kasganj,Etah,UTTAR PRADESH
207246,Patiali,Etah,UTTAR PRADESH
207247,Aliganj,Etah,UTTAR PRADESH
207248,Aliganj,Etah,UTTAR PRADESH
207249,Aliganj,Etah,UTTAR PRADESH
207250,Aliganj,Etah,UTTAR PRADESH
207301,Etah,Etah,UTTAR PRADESH
207302,Jalesar,Etah,UTTAR PRADESH
207401,Kasganj,Etah,UTTAR PRADESH
207402,Kasganj,Etah,UTTAR PRADESH
207403,Kasganj,Etah,UTTAR PRADESH
208001,Kanpur,Kanpur Dehat,UTTAR PRADESH
208002,Csa,Kanpur Nagar,UTTAR PRADESH
208003,Anwarganj,Kanpur Nagar,UTTAR PRADESH
208004,Cantt.,Kanpur Nagar,UTTAR PRADESH
208005,Lajpat Nagar,Kanpur Nagar,UTTAR PRADESH
208006,Govind Nagar,Kanpur Nagar,UTTAR PRADESH
208007,Harjinder Nagar,Kanpur Nagar,UTTAR PRADESH
208008,Chakeri,Kanpur Nagar,UTTAR PRADESH
208009,Armapur,Kanpur Nagar,UTTAR PRADESH
208010,Jajmau,Kanpur Nagar,UTTAR PRADESH
208011,Anand Nagar,Kanpur Nagar,UTTAR PRADESH
208012,Fazalganj,Kanpur Nagar,UTTAR PRADESH
208013,Cod,Kanpur Nagar,UTTAR PRADESH
208014,Juhi,Kanpur Nagar,UTTAR PRADESH
208015,New Pac Lines,Kanpur Nagar,UTTAR PRADESH
208016,Kalyanpur,Kanpur Nagar,UTTAR PRADESH
208017,Avas Vikas Yojna No. 3,Kanpur Nagar,UTTAR PRADESH
208019,Rawatpur Gaon,Kanpur Nagar,UTTAR PRADESH
208020,Ganga Ganj,Kanpur Nagar,UTTAR PRADESH
208021,Kasigaon,Kanpur Nagar,UTTAR PRADESH
208022,Ratan Lal Nagar,Kanpur Nagar,UTTAR PRADESH
208023,Munshipurwa,Kanpur Nagar,UTTAR PRADESH
208024,Vikas Nagar,Kanpur Nagar,UTTAR PRADESH
208025,Naveen Nagar,Kanpur Nagar,UTTAR PRADESH
208026,Indira Nagar,Kanpur Nagar,UTTAR PRADESH
208027,Barra,Kanpur Nagar,UTTAR PRADESH
209101,Akbarpur,Kanpur Dehat,UTTAR PRADESH
209111,Pukhraayan,Kanpur Dehat,UTTAR PRADESH
209112,Kanpur Dehat,Kanpur Dehat,UTTAR PRADESH
209115,Kanpur Dehat,Kanpur Dehat,UTTAR PRADESH
209121,Kanpur Dehat,Kanpur Dehat,UTTAR PRADESH
209125,Sikandra,Kanpur Dehat,UTTAR PRADESH
209202,Bilhaur,Kanpur Dehat,UTTAR PRADESH
209203,Kanpur,Kanpur Nagar,UTTAR PRADESH
209204,Sheoli,Kanpur Dehat,UTTAR PRADESH
209205,Shivrajpur,Kanpur Dehat,UTTAR PRADESH
209206,Ghatampur,Kanpur Dehat,UTTAR PRADESH
209208,Kanpur Dehat,Kanpur Dehat,UTTAR PRADESH
209209,Kanpur Dehta,Kanpur Dehat,UTTAR PRADESH
209210,Uttaripura,Kanpur Dehat,UTTAR PRADESH
209214,Bharu,Kanpur Nagar,UTTAR PRADESH
209217,Baikunthpur,Kanpur Nagar,UTTAR PRADESH
209301,Kanpur Dehat,Kanpur Dehat,UTTAR PRADESH
209302,Jhinjhak,Kanpur Dehat,UTTAR PRADESH
209303,Rura,Kanpur Dehat,UTTAR PRADESH
209304,Binour,Kanpur Nagar,UTTAR PRADESH
209305,Bhauti Pratappur,Kanpur Nagar,UTTAR PRADESH
209306,Rasulabad,Kanpur Dehat,UTTAR PRADESH
209307,Kanpur Dehat,Kanpur Dehat,UTTAR PRADESH
209308,Kanpur Dehat,Kanpur Dehat,UTTAR PRADESH
209310,Kanpur Dehat,Kanpur Dehat,UTTAR PRADESH
209311,Kanpur Dehat,Kanpur Dehat,UTTAR PRADESH
209312,Knpur Dehat,Kanpur Dehat,UTTAR PRADESH
209401,Amour,Kanpur Nagar,UTTAR PRADESH
209402,Bhadrsa,Kanpur Nagar,UTTAR PRADESH
209501,Farrukhabad,Farrukhabad,UTTAR PRADESH
209502,Farrukhabad,Farrukhabad,UTTAR PRADESH
209503,Farrukhabad,Farrukhabad,UTTAR PRADESH
209504,Farrukhabad,Farrukhabad,UTTAR PRADESH
209505,Farrukhabad,Farrukhabad,UTTAR PRADESH
209601,Farrukhabad,Farrukhabad,UTTAR PRADESH
209602,Farrukhabad,Farrukhabad,UTTAR PRADESH
209621,Farrukhabad,Farrukhabad,UTTAR PRADESH
209622,Farrukhabad,Farrukhabad,UTTAR PRADESH
209625,Farrukhabad,Farrukhabad,UTTAR PRADESH
209651,Farrukhabad,Farrukhabad,UTTAR PRADESH
209652,Farrukhabad,Farrukhabad,UTTAR PRADESH
209720,Kannauj,Kannauj,UTTAR PRADESH
209721,Farrukhabad,Farrukhabad,UTTAR PRADESH
209722,Kannauj,Kannauj,UTTAR PRADESH
209723,Kannauj,Kannauj,UTTAR PRADESH
209724,Farrukhabad,Farrukhabad,UTTAR PRADESH
209725,Kannauj,Kannauj,UTTAR PRADESH
209726,Kannauj,Kannauj,UTTAR PRADESH
209727,Kannauj,Kannauj,UTTAR PRADESH
209728,Kannauj,Kannauj,UTTAR PRADESH
209729,Kannauj,Kannauj,UTTAR PRADESH
209731,Kannauj,Kannauj,UTTAR PRADESH
209732,Kannauj,Kannauj,UTTAR PRADESH
209733,Kannauj,Kannauj,UTTAR PRADESH
209734,Kannauj,Kannauj,UTTAR PRADESH
209735,Kannauj,Kannauj,UTTAR PRADESH
209736,Kannauj,Kannauj,UTTAR PRADESH
209738,Kannauj,Kannauj,UTTAR PRADESH
209739,Farrukhabad,Farrukhabad,UTTAR PRADESH
209743,Farrukhabad,Farrukhabad,UTTAR PRADESH
209745,Farrukhabad,Farrukhabad,UTTAR PRADESH
209747,Kannauj,Kannauj,UTTAR PRADESH
209749,Farrukhabad,Farrukhabad,UTTAR PRADESH
209801,Unnao,Unnao,UTTAR PRADESH
209821,Unnao,Unnao,UTTAR PRADESH
209825,Purwa,Unnao,UTTAR PRADESH
209827,Unnao,Unnao,UTTAR PRADESH
209831,Unnao,Unnao,UTTAR PRADESH
209841,Unnao,Unnao,UTTAR PRADESH
209859,Unnao,Unnao,UTTAR PRADESH
209861,Unnao,Unnao,UTTAR PRADESH
209862,Unnao,Unnao,UTTAR PRADESH
209863,Unnao,Unnao,UTTAR PRADESH
209864,Unnao,Unnao,UTTAR PRADESH
209865,Unnao,Unnao,UTTAR PRADESH
209866,Unnaao,Unnao,UTTAR PRADESH
209867,Unnao,Unnao,UTTAR PRADESH
209868,Unnao,Unnao,UTTAR PRADESH
209869,Unnao,Unnao,UTTAR PRADESH
209870,Unnao,Unnao,UTTAR PRADESH
209871,Safipur,Unnao,UTTAR PRADESH
210001,Banda,Banda,UTTAR PRADESH
210120,Banda,Banda,UTTAR PRADESH
210121,Banda,Banda,UTTAR PRADESH
210123,Banda,Banda,UTTAR PRADESH
210125,Banda,Banda,UTTAR PRADESH
210126,Banda,Banda,UTTAR PRADESH
210128,Banda,Banda,UTTAR PRADESH
210129,Banda,Banda,UTTAR PRADESH
210201,Banda,Banda,UTTAR PRADESH
210202,Banda,Banda,UTTAR PRADESH
210203,Banda,Banda,UTTAR PRADESH
210204,Banda,Chitrakoot,UTTAR PRADESH
210205,Banda,Chitrakoot,UTTAR PRADESH
210206,Banda,Chitrakoot,UTTAR PRADESH
210207,Banda,Chitrakoot,UTTAR PRADESH
210208,Banda,Chitrakoot,UTTAR PRADESH
210209,Banda,Chitrakoot,UTTAR PRADESH
210301,Hamirpur,Hamirpur,UTTAR PRADESH
210341,Hamirpur,Hamirpur,UTTAR PRADESH
210421,Hamirpur,Mahoba,UTTAR PRADESH
210422,Hamirpur,Hamirpur,UTTAR PRADESH
210423,Hamirpur,Mahoba,UTTAR PRADESH
210424,Hamirpur,Mahoba,UTTAR PRADESH
210425,Hamirpur,Mahoba,UTTAR PRADESH
210426,Hamirpur,Mahoba,UTTAR PRADESH
210427,Hamirpur,Mahoba,UTTAR PRADESH
210428,Hamirpur,Hamirpur,UTTAR PRADESH
210429,Hamirpur,Mahoba,UTTAR PRADESH
210430,Hamirpur,Hamirpur,UTTAR PRADESH
210431,Hamirpur,Hamirpur,UTTAR PRADESH
210432,Hamirpur,Hamirpur,UTTAR PRADESH
210433,Mahoba,Mahoba,UTTAR PRADESH
210501,Hamirpur,Hamirpur,UTTAR PRADESH
210502,Hamirpur,Hamirpur,UTTAR PRADESH
210504,Hamirpur,Hamirpur,UTTAR PRADESH
210505,Hamirpur,Hamirpur,UTTAR PRADESH
210506,Hamirpur,Hamirpur,UTTAR PRADESH
210507,Hamirpur,Hamirpur,UTTAR PRADESH
211001,Allahabad **,Allahabad,UTTAR PRADESH
211002,Allahabad,Allahabad,UTTAR PRADESH
211003,Allahabad,Allahabad,UTTAR PRADESH
211004,Allahabad,Allahabad,UTTAR PRADESH
211005,Allahabad,Allahabad,UTTAR PRADESH
211006,Allahabad,Allahabad,UTTAR PRADESH
211007,Allahabad,Allahabad,UTTAR PRADESH
211008,Karchhana,Allahabad,UTTAR PRADESH
211009,Karchhana,Allahabad,UTTAR PRADESH
 Naini S.O,Uttar Pradesh,Karchhana,Allahabad
211010,Allahabad,Allahabad,UTTAR PRADESH
211011,Sirathu,Kaushambi,UTTAR PRADESH
211012,Allahabad **,Allahabad,UTTAR PRADESH
211013,Phaphamau,Allahabad,UTTAR PRADESH
211014,Allahabad,Allahabad,UTTAR PRADESH
211015,Allahabad,Allahabad,UTTAR PRADESH
211016,Allahabad,Allahabad,UTTAR PRADESH
211017,Allahabad,Allahabad,UTTAR PRADESH
211018,Allahabad,Allahabad,UTTAR PRADESH
211019,Allahabad **,Allahabad,UTTAR PRADESH
212104,Allahabad,Allahabad,UTTAR PRADESH
212105,Allahabad,Allahabad,UTTAR PRADESH
212106,Koraon **,Allahabad,UTTAR PRADESH
212107,Allahabad,Allahabad,UTTAR PRADESH
212108,Bara,Allahabad,UTTAR PRADESH
212109,Phulpur,Allahabad,UTTAR PRADESH
212111,Bara,Allahabad,UTTAR PRADESH
212201,Sirathu,Kaushambi,UTTAR PRADESH
212202,Chail,Kaushambi,UTTAR PRADESH
212203,Charwa,Kaushambi,UTTAR PRADESH
212204,Allahabad,Allahabad,UTTAR PRADESH
212205,Sirathu,Kaushambi,UTTAR PRADESH
212206,Manjhanpur,Kaushambi,UTTAR PRADESH
212207,Manjhanpur,Kaushambi,UTTAR PRADESH
212208,Allahabad,Allahabad,UTTAR PRADESH
212212,Allahabad,Allahabad,UTTAR PRADESH
212213,Chail,Kaushambi,UTTAR PRADESH
212214,Manjhanpur,Kaushambi,UTTAR PRADESH
212216,Manjhanpur,Kaushambi,UTTAR PRADESH
212217,Sirathu,Allahabad,UTTAR PRADESH
212218,Chail,Kaushambi,UTTAR PRADESH
212301,Akorha,Allahabad,UTTAR PRADESH
212302,Meja,Allahabad,UTTAR PRADESH
212303,Meja,Allahabad,UTTAR PRADESH
212305,Meja,Allahabad,UTTAR PRADESH
212306,Koraon,Allahabad,UTTAR PRADESH
212307,Koraon **,Allahabad,UTTAR PRADESH
212401,Handia,Allahabad,UTTAR PRADESH
212402,Phulpur,Allahabad,UTTAR PRADESH
212404,Phulpur,Allahabad,UTTAR PRADESH
212405,Ugrasenpur,Allahabad,UTTAR PRADESH
212502,Soraon,Allahabad,UTTAR PRADESH
212503,Holagarh,Allahabad,UTTAR PRADESH
212507,Mau Aima,Allahabad,UTTAR PRADESH
212601,Fatehpur,Fatehpur,UTTAR PRADESH
212620,Fatehpur,Fatehpur,UTTAR PRADESH
212621,Fatehpur,Fatehpur,UTTAR PRADESH
212622,Fatehpur,Fatehpur,UTTAR PRADESH
212631,Fatehpur,Fatehpur,UTTAR PRADESH
212635,Fatehpur,Fatehpur,UTTAR PRADESH
212641,Fatehpur,Fatehpur,UTTAR PRADESH
212645,Fatehpur,Fatehpur,UTTAR PRADESH
212650,Fatehpur,Fatehpur,UTTAR PRADESH
212651,Fatehpur,Fatehpur,UTTAR PRADESH
212652,Fatehpur,Fatehpur,UTTAR PRADESH
212653,Fatehpur,Fatehpur,UTTAR PRADESH
212654,Fatehpur,Fatehpur,UTTAR PRADESH
212655,Fatehpur,Fatehpur,UTTAR PRADESH
212656,Fatehpur,Fatehpur,UTTAR PRADESH
212657,Fatehpur,Fatehpur,UTTAR PRADESH
212658,Fatehpur,Fatehpur,UTTAR PRADESH
212659,Fatehpur,Fatehpur,UTTAR PRADESH
212661,Fatehpur,Fatehpur,UTTAR PRADESH
212663,Fatehpur,Fatehpur,UTTAR PRADESH
212664,Fatehpur,Fatehpur,UTTAR PRADESH
212665,Fatehpur,Fatehpur,UTTAR PRADESH
221001,Varanasi,Varanasi,UTTAR PRADESH
221002,Varanasi,Varanasi,UTTAR PRADESH
221003,Varanasi,Varanasi,UTTAR PRADESH
221004,Varanasi,Varanasi,UTTAR PRADESH
221005,Varanasi,Varanasi,UTTAR PRADESH
221006,Varanasi,Varanasi,UTTAR PRADESH
221007,Varanasi,Varanasi,UTTAR PRADESH
221008,Varanasi,Varanasi,UTTAR PRADESH
221009,Chandauli,Chandauli,UTTAR PRADESH
221010,Varanasi,Varanasi,UTTAR PRADESH
221011,Varanasi,Varanasi,UTTAR PRADESH
221101,Varanasi,Varanasi,UTTAR PRADESH
221103,Varanasi,Varanasi,UTTAR PRADESH
221104,Varanasi,Varanasi,UTTAR PRADESH
221105,Varanasi,Varanasi,UTTAR PRADESH
221106,Varanasi,Varanasi,UTTAR PRADESH
221107,Varanasi,Varanasi,UTTAR PRADESH
221108,Varanasi,Varanasi,UTTAR PRADESH
221110,Varanasi,Varanasi,UTTAR PRADESH
221112,Varanasi,Varanasi,UTTAR PRADESH
221115,Varanasi,Varanasi,UTTAR PRADESH
221116,Varanasi,Varanasi,UTTAR PRADESH
221201,Varanasi,Varanasi,UTTAR PRADESH
221202,Varanasi,Varanasi,UTTAR PRADESH
221204,Pindra,Varanasi,UTTAR PRADESH
221206,Varanasi,Varanasi,UTTAR PRADESH
221207,Varanasi,Varanasi,UTTAR PRADESH
221208,Varanasi,Varanasi,UTTAR PRADESH
221301,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221302,Varanasi,Varanasi,UTTAR PRADESH
221303,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221304,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221305,Varanasi,Varanasi,UTTAR PRADESH
221306,Varanasi,Varanasi,UTTAR PRADESH
221307,Varanasi,Varanasi,UTTAR PRADESH
221308,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221309,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221310,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221311,Varanasi,Varanasi,UTTAR PRADESH
221313,Varanasi,Varanasi,UTTAR PRADESH
221314,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221401,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221402,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221403,Varanasi,Varanasi,UTTAR PRADESH
221404,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221405,Varanasi,Varanasi,UTTAR PRADESH
221406,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221409,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
221502,Baraut,Allahabad,UTTAR PRADESH
221503,Handia,Allahabad,UTTAR PRADESH
221505,Hanumanganj,Allahabad,UTTAR PRADESH
221507,Sahson,Allahabad,UTTAR PRADESH
221508,Handia,Allahabad,UTTAR PRADESH
221601,Madhuban,Mau,UTTAR PRADESH
221602,Madhuban,Mau,UTTAR PRADESH
221603,Madhuban,Mau,UTTAR PRADESH
221701,Rasra,Ballia,UTTAR PRADESH
221705,Sadar,Mau,UTTAR PRADESH
221706,Sadar,Mau,UTTAR PRADESH
221709,Rasra,Ballia,UTTAR PRADESH
221711,Rasra,Ballia,UTTAR PRADESH
221712,Rasra,Ballia,UTTAR PRADESH
221713,Ballia,Ballia,UTTAR PRADESH
221715,Bilthara Road,Ballia,UTTAR PRADESH
221716,Bilthara Road,Ballia,UTTAR PRADESH
221717,Sikanderpur,Ballia,UTTAR PRADESH
221718,Bilthra Road,Ballia,UTTAR PRADESH
222001,Jaunpur,Jaunpur,UTTAR PRADESH
222002,Jaunpur,Jaunpur,UTTAR PRADESH
222101,Shahganj,Jaunpur,UTTAR PRADESH
222105,Mariahun,Jaunpur,UTTAR PRADESH
222109,Machhlishahr,Jaunpur,UTTAR PRADESH
222125,Badlapur,Jaunpur,UTTAR PRADESH
222127,Machhalishahar,Jaunpur,UTTAR PRADESH
222128,Mariahu,Jaunpur,UTTAR PRADESH
222129,Kerakat,Jaunpur,UTTAR PRADESH
222131,Jaunpur,Jaunpur,UTTAR PRADESH
222132,Jaunpur,Jaunpur,UTTAR PRADESH
222133,Jaunpur,Jaunpur,UTTAR PRADESH
222135,Jaunpur,Jaunpur,UTTAR PRADESH
222136,Kerakat,Jaunpur,UTTAR PRADESH
222137,Mariahu,Jaunpur,UTTAR PRADESH
222138,Jaunpur,Jaunpur,UTTAR PRADESH
222139,Shahganj,Jaunpur,UTTAR PRADESH
222141,Badalapur,Jaunpur,UTTAR PRADESH
222142,Kerakat,Jaunpur,UTTAR PRADESH
222143,Machhali Shahar,Jaunpur,UTTAR PRADESH
222144,Machhalishahar,Jaunpur,UTTAR PRADESH
222145,Badalapur,Jaunpur,UTTAR PRADESH
222146,Kerakat,Jaunpur,UTTAR PRADESH
222148,Kerakat,Jaunpur,UTTAR PRADESH
222149,Kerakat,Jaunpur,UTTAR PRADESH
222161,Mariahun,Jaunpur,UTTAR PRADESH
222162,Mariahu,Jaunpur,UTTAR PRADESH
222165,Mariahun,Jaunpur,UTTAR PRADESH
222170,Kerakat,Jaunpur,UTTAR PRADESH
222175,Badalapur,Jaunpur,UTTAR PRADESH
222180,Jaunpur,Jaunpur,UTTAR PRADESH
222181,Kerakat,Jaunpur,UTTAR PRADESH
222201,Machhali Shahar,Jaunpur,UTTAR PRADESH
222202,Machhali Shahar,Jaunpur,UTTAR PRADESH
222203,Mariahu,Jaunpur,UTTAR PRADESH
222204,Machali Shahar,Jaunpur,UTTAR PRADESH
222301,Lambhua,Sultanpur,UTTAR PRADESH
222302,Lambhua,Sultanpur,UTTAR PRADESH
222303,Lambhua,Sultanpur,UTTAR PRADESH
223101,Shahganj,Jaunpur,UTTAR PRADESH
223102,Shahganj,Jaunpur,UTTAR PRADESH
223103,Shahganj,Jaunpur,UTTAR PRADESH
223104,Shahganj,Jaunpur,UTTAR PRADESH
223105,Shahganj,Jaunpur,UTTAR PRADESH
223221,Budanpur,Azamgarh,UTTAR PRADESH
223222,Phulpur,Azamgarh,UTTAR PRADESH
223223,Budan Pur,Azamgarh,UTTAR PRADESH
223224,Phool Pur.,Azamgarh,UTTAR PRADESH
223225,Phoolpur,Azamgarh,UTTAR PRADESH
223226,Phoolpur,Azamgarh,UTTAR PRADESH
223227,Nizamabad,Azamgarh,UTTAR PRADESH
224001,Faizabad,Faizabad,UTTAR PRADESH
224116,Rudauli,Barabanki,UTTAR PRADESH
224117,Rudauli,Faizabad,UTTAR PRADESH
224118,Rudauli,Barabanki,UTTAR PRADESH
224119,Rudauli,Barabanki,UTTAR PRADESH
224120,Rudauli,Barabanki,UTTAR PRADESH
224121,Milkipur,Faizabad,UTTAR PRADESH
224122,Akbarpur,Ambedkar Nagar,UTTAR PRADESH
224123,Faizabad,Faizabad,UTTAR PRADESH
224125,Akbarpur,Ambedkar Nagar,UTTAR PRADESH
224126,Sohawal,Faizabad,UTTAR PRADESH
224127,Allapur,Ambedkar Nagar,UTTAR PRADESH
224129,Alapur,Ambedkar Nagar,UTTAR PRADESH
224132,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224133,Allapur,Ambedkar Nagar,UTTAR PRADESH
224135,Faizabad,Faizabad,UTTAR PRADESH
224137,Alapur,Ambedkar Nagar,UTTAR PRADESH
224139,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224141,Faizabad,Faizabad,UTTAR PRADESH
224143,Alapur,Ambedkar Nagar,UTTAR PRADESH
224145,Tanda,Ambedkar Nagar,UTTAR PRADESH
224146,Akberpur,Ambedkar Nagar,UTTAR PRADESH
224147,Alapur,Ambedkar Nagar,UTTAR PRADESH
224149,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224151,Akberpur,Ambedkar Nagar,UTTAR PRADESH
224152,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224153,Milkipur,Faizabad,UTTAR PRADESH
224155,Tanda,Ambedkar Nagar,UTTAR PRADESH
224157,Akbarur,Ambedkar Nagar,UTTAR PRADESH
224158,Milkipur,Faizabad,UTTAR PRADESH
224159,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224161,Faizabad,Faizabad,UTTAR PRADESH
224164,Milkipur,Faizabad,UTTAR PRADESH
224168,Akbarpur,Ambedkar Nagar,UTTAR PRADESH
224171,Tanda,Ambedkar Nagar,UTTAR PRADESH
224172,Tanda,Ambedkar Nagar,UTTAR PRADESH
224176,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224181,Alapur,Ambedkar Nagar,UTTAR PRADESH
224182,Sohawal,Faizabad,UTTAR PRADESH
224183,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224186,Alapur,Ambedkar Nagar,UTTAR PRADESH
224188,Sohawal,Faizabad,UTTAR PRADESH
224189,Sohawal,Faizabad,UTTAR PRADESH
224190,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224195,Akbarpur,Ambedkar Nagar,UTTAR PRADESH
224201,Akbarpur,Ambedkar Nagar,UTTAR PRADESH
224202,Allapur,Ambedkar Nagar,UTTAR PRADESH
224203,Allapur **,Ambedkar Nagar,UTTAR PRADESH
224204,Bikapur,Faizabad,UTTAR PRADESH
224205,Allapur **,Ambedkar Nagar,UTTAR PRADESH
224206,Bikapur,Faizabad,UTTAR PRADESH
224207,Bikapur,Faizabad,UTTAR PRADESH
224208,Bikapur,Faizabad,UTTAR PRADESH
224209,Bikapur,Faizabad,UTTAR PRADESH
224210,Allapur,Ambedkar Nagar,UTTAR PRADESH
224225,Faizabad,Faizabad,UTTAR PRADESH
224227,Allapur **,Ambedkar Nagar,UTTAR PRADESH
224228,Allapur **,Ambedkar Nagar,UTTAR PRADESH
224229,Milkipur,Faizabad,UTTAR PRADESH
224230,Tanda,Ambedkar Nagar,UTTAR PRADESH
224231,Allapur **,Ambedkar Nagar,UTTAR PRADESH
224232,Allapur,Ambedkar Nagar,UTTAR PRADESH
224234,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224235,Akbarpur,Ambedkar Nagar,UTTAR PRADESH
224238,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
224284,Jalalpur,Ambedkar Nagar,UTTAR PRADESH
225001,Nawabganj,Barabanki,UTTAR PRADESH
225002,Nawabganj,Barabanki,UTTAR PRADESH
225003,Nawabganj,Barabanki,UTTAR PRADESH
225119,Haidergarh,Barabanki,UTTAR PRADESH
225120,Haider Garh,Barabanki,UTTAR PRADESH
225121,Nawab Ganj,Barabanki,UTTAR PRADESH
225122,Nawabganj,Barabanki,UTTAR PRADESH
225123,Nawabganj,Barabanki,UTTAR PRADESH
225124,Haider Garh,Barabanki,UTTAR PRADESH
225125,Haider Garh,Barabanki,UTTAR PRADESH
225126,Haider Garh,Barabanki,UTTAR PRADESH
225201,Ramnagar,Barabanki,UTTAR PRADESH
225202,Ramnagar,Barabanki,UTTAR PRADESH
225203,Nawabganj,Barabanki,UTTAR PRADESH
225204,Nawabganj,Barabanki,UTTAR PRADESH
225205,Ramnagar,Barabanki,UTTAR PRADESH
225206,Sirauli Gauspur,Barabanki,UTTAR PRADESH
225207,Sirauli Gauspur,Barabanki,UTTAR PRADESH
225208,Ramnagar,Barabanki,UTTAR PRADESH
225301,Nawabganj,Barabanki,UTTAR PRADESH
225302,Fateh Pur,Barabanki,UTTAR PRADESH
225303,Fateh Pur,Barabanki,UTTAR PRADESH
225304,Fateh Pur,Barabanki,UTTAR PRADESH
225305,Fatehpur,Barabanki,UTTAR PRADESH
225306,Fateh Pur,Barabanki,UTTAR PRADESH
225401,Ram Sanehi Ghat,Barabanki,UTTAR PRADESH
225403,Ram Sanehi Ghat,Barabanki,UTTAR PRADESH
225404,Ramsanehighat,Barabanki,UTTAR PRADESH
225405,Ram Sanehi Ghat,Barabanki,UTTAR PRADESH
225409,Ram Sanehi Ghat,Barabanki,UTTAR PRADESH
225412,Nawabganj,Barabanki,UTTAR PRADESH
225413,Haider Garh,Barabanki,UTTAR PRADESH
225414,Nawabganj,Barabanki,UTTAR PRADESH
225415,Ram Sanehi Ghat,Barabanki,UTTAR PRADESH
225416,Haider Garh,Barabanki,UTTAR PRADESH
226001,Lucknow,Lucknow,UTTAR PRADESH
226002,Lucknow,Lucknow,UTTAR PRADESH
226003,Lucknow,Lucknow,UTTAR PRADESH
226004,Lucknow,Lucknow,UTTAR PRADESH
226005,Lucknow,Lucknow,UTTAR PRADESH
226006,Lucknow,Lucknow,UTTAR PRADESH
226007,Lucknow,Lucknow,UTTAR PRADESH
226008,Lucknow,Lucknow,UTTAR PRADESH
226009,Lucknow,Lucknow,UTTAR PRADESH
226010,Lucknow,Lucknow,UTTAR PRADESH
226011,Lucknow,Lucknow,UTTAR PRADESH
226012,Lucknow,Lucknow,UTTAR PRADESH
226013,Lucknow,Lucknow,UTTAR PRADESH
226014,Lucknow,Lucknow,UTTAR PRADESH
226015,Lucknow,Lucknow,UTTAR PRADESH
226016,Lucknow,Lucknow,UTTAR PRADESH
226017,Lucknow,Lucknow,UTTAR PRADESH
226018,Lucknow,Lucknow,UTTAR PRADESH
226019,Lucknow,Lucknow,UTTAR PRADESH
226020,Lucknow,Lucknow,UTTAR PRADESH
226021,Lucknow,Lucknow,UTTAR PRADESH
226022,Lucknow,Lucknow,UTTAR PRADESH
226023,Lucknow,Lucknow,UTTAR PRADESH
226024,Lucknow,Lucknow,UTTAR PRADESH
226025,Lucknow,Lucknow,UTTAR PRADESH
226026,Lucknow,Lucknow,UTTAR PRADESH
226027,Lucknow,Lucknow,UTTAR PRADESH
226028,Lucknow,Lucknow,UTTAR PRADESH
226029,Lucknow,Lucknow,UTTAR PRADESH
226031,Lucknow,Lucknow,UTTAR PRADESH
226101,Lucknow,Lucknow,UTTAR PRADESH
226102,Malihabad,Lucknow,UTTAR PRADESH
226103,Malihabad,Lucknow,UTTAR PRADESH
226104,Malihabad,Lucknow,UTTAR PRADESH
226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
226202,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
226301,Mohanlalganj,Lucknow,UTTAR PRADESH
226302,Mohanlalganj,Lucknow,UTTAR PRADESH
226303,Mohanlalganj,Lucknow,UTTAR PRADESH
226401,Lucknow,Lucknow,UTTAR PRADESH
226501,Mohanlalganj,Lucknow,UTTAR PRADESH
227304,Lambhua,Sultanpur,UTTAR PRADESH
227405,Amethi,Sultanpur,UTTAR PRADESH
227406,Amethi,Sultanpur,UTTAR PRADESH
227407,Amethi,Sultanpur,UTTAR PRADESH
227408,Sultanpur,Sultanpur,UTTAR PRADESH
227409,Gauriganj,Sultanpur,UTTAR PRADESH
227411,Gauraiganj,Sultanpur,UTTAR PRADESH
227412,Amethi,Sultanpur,UTTAR PRADESH
227413,Amethi,Sultanpur,UTTAR PRADESH
227801,Gauriganj,Sultanpur,UTTAR PRADESH
227805,Sultanpur,Sultanpur,UTTAR PRADESH
